adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0000006955-19-000020	6955	ACTUANT CORP	3590	US	WI	MENOMONEE FALLS	53051	ATTN:  BRYAN JOHNSON	N86 W12500 WESTBROOK CROSSING	262-293-1697	US	WI	MENOMONEE FALLS	53051	ATTN:  BRYAN JOHNSON	N86 W12500 WESTBROOK CROSSING	US	WI	390168610	APPLIED POWER INC	19920703	1-LAF	0	0831	10-Q	20190531	2019	Q3	20190701	2019-06-28 18:33:00.0	0	1	atu-20190531.xml	1	
0000107140-19-000026	107140	WILEY JOHN & SONS, INC.	2731	US	NJ	HOBOKEN	07030	111 RIVER STREET		2017486000	US	NJ	HOBOKEN	07030	111 RIVER STREET		US	NY	135593032	WILEY JOHN & SONS INC	19920703	1-LAF	1	0430	10-K	20190430	2019	FY	20190701	2019-07-01 14:38:00.0	0	1	jwa-20190430.xml	1	
0001062993-19-002758	1532390	ALKALINE WATER CO INC	5140	US	AZ	SCOTTSDALE	85254	14646 N. KIERLAND BLVD.	SUITE 255	480-656-2423	US	AZ	SCOTTSDALE	85254	14646 N. KIERLAND BLVD.	SUITE 255	US	NV	990367049	GLOBAL LINES INC	20111011	2-ACC	0	0331	10-K	20190331	2018	FY	20190701	2019-07-01 17:02:00.0	0	1	wter-20190331.xml	1	
0001144204-19-033406	1508381	BIONIK LABORATORIES CORP.	3842	CA	ON	TORONTO	M5G2C9	483 BAY STREET	N105	1.416.640.7887	CA	ON	TORONTO	M5G2C9	483 BAY STREET	N105	US	DE	271340346	DRYWAVE TECHNOLOGIES, INC.	20130814	4-NON	0	0331	10-K	20190331	2018	FY	20190701	2019-07-01 16:46:00.0	0	1	bnkl-20190331.xml	1	
0001185185-19-000932	96885	TEL INSTRUMENT ELECTRONICS CORP	3670	US	NJ	EAST RUTHERFORD	07073	ONE BRANCA ROAD		2019331600	US	NJ	EAST RUTHERFORD	07073	ONE BRANCA ROAD		US	NJ	221441806			5-SML	0	0331	10-K	20190331	2018	FY	20190701	2019-07-01 17:02:00.0	0	1	tikk-20190331.xml	1	
0001213900-19-011825	1413263	CHINA JO-JO DRUGSTORES, INC.	5912	CN		ZHEJIANG PROVINCE	310008	HAI WAI HAI TONGXIN MANSION FLOOR 6	GONG SHU DISTRICT, HANGZHOU	(86) 1501-158-6601	CN		ZHEJIANG PROVINCE	310008	HAI WAI HAI TONGXIN MANSION FLOOR 6	GONG SHU DISTRICT, HANGZHOU	US	NV	980557582	KERRISDALE MINING CORP	20070924	4-NON	0	0331	10-K	20190331	2018	FY	20190701	2019-07-01 08:47:00.0	0	1	cjjd-20190331.xml	1	
0001213900-19-011846	1428389	BLOX, INC.	4911							604-314-9293	US	NY	NEW YORK	10036	1177 AVENUE OF THE AMERICAS	5TH FLOOR			208530914	NAVA RESOURCES, INC.	20080227	4-NON	0	0331	10-K	20190331	2018	FY	20190701	2019-07-01 13:11:00.0	0	1	blxx-20190331.xml	1	
0001213900-19-011850	1738021	OLIVIA VENTURES, INC.	6770	US	FL	BOCA RATON	33431	2255 GLADES ROAD	SUITE 324A	561-989-2208	US	FL	BOCA RATON	33431	2255 GLADES ROAD	SUITE 324A	US	DE	000000000			4-NON	0	0331	10-K	20190331	2018	FY	20190701	2019-07-01 14:51:00.0	0	1	cik0001738021-20190331.xml	1	
0001213900-19-011905	1553404	PACIFIC GREEN TECHNOLOGIES INC.	4955	US	CA	SAN JOSE	95129	5205 PROSPECT ROAD	SUITE 135-226	(408) 538-3373	GB		LONDON	W1S 4GA	4, ALBEMARLE ST		US	DE	522171803			4-NON	0	0331	10-K	20190331	2018	FY	20190701	2019-07-01 16:58:00.0	0	1	pgtk-20190331.xml	1	
0001437749-19-013104	1632127	CABLE ONE, INC.	4841	US	AZ	PHOENIX	85012	210 E. EARLL DRIVE		602-364-6000	US	AZ	PHOENIX	85012	210 E. EARLL DRIVE		US	DE	133060083			1-LAF	0	1231	8-K	20190630			20190701	2019-07-01 06:36:00.0	1	0	cabo20190624_8k_htm.xml	1	
0001437749-19-013217	768408	CYANOTECH CORP	2833	US	HI	KAILUA KONA	96740	73-4460 QUEEN KAAHUMANU HWY	SUITE 102	8083261353	US	HI	KAILUA-KONA	96740	73-4460 QUEEN KAAHUMANU HWY	SUITE 102	US	NV	911206026			4-NON	0	0331	10-K	20190331	2018	FY	20190701	2019-07-01 16:04:00.0	0	1	cyan-20190331.xml	1	
0001437749-19-013246	1043156	STAR BUFFET INC	5812	US	AZ	SCOTTSDALE	85257	1312 N SCOTTSDALE ROAD		6024250397	US	AZ	SCOTTSDALE	85247	1312 N SCOTTSDALE ROAD		US	DE	841430786			4-NON	0	0131	10-Q	20190531	2020	Q1	20190701	2019-07-01 17:02:00.0	0	1	strzq-20190520.xml	1	
0001437749-19-013251	39092	FRIEDMAN INDUSTRIES INC	3310	US	TX	LONGVIEW	75601	1121 JUDSON RD	SUITE 124	9037583431	US	TX	LONGVIEW	75606	PO BOX 2192		US	TX	741504405			4-NON	0	0331	10-K	20190331	2018	FY	20190701	2019-07-01 17:30:00.0	0	1	frd-20190331.xml	1	
