gvkey,cik,datadate,fyear,company name,curcd,Total revenue,Net income(loss),Profitability,ProfitabilityDiff,assests and liabilities other net change,assestsDiff,cash and cash equivalents incease(decrease) ,cashDiff,operating income,incomeDiff,company statement,have 2021
1004,1750,05/31/2020,2019,AAR CORP,USD,2089.3,4.4,0.002105969,,-68,,383.6,,150.1,,A,
1004,1750,05/31/2021,2020,AAR CORP,USD,1651.4,35.8,0.021678576,0.019572607,-75.5,-7.5,-364.5,-748.1,101.8,-48.3,A,
1078,1800,12/31/2019,2019,ABBOTT LABORATORIES,USD,31904,3687,0.115565446,,82,,16,,8055,,A,
1078,1800,12/31/2020,2020,ABBOTT LABORATORIES,USD,34608,4495,0.129883264,0.014317818,1139,1057,2978,2962,9112,1057,A,
1084,1961,12/31/2019,2019,WORLDS INC,USD,0,-1.234,,,0,,-2.275,,-1.154,,A,
1084,1961,12/31/2020,2020,WORLDS INC,USD,0,-1.569,,,0,0,-1.096,1.179,-1.507,-0.353,A,
1104,2098,12/31/2019,2019,ACME UNITED CORP,USD,142.457,5.514,0.038706417,,0.666,,2.413,,11.862,,A,
1104,2098,12/31/2020,2020,ACME UNITED CORP,USD,164.003,8.099,0.049383243,0.010676826,0.159,-0.507,-2.655,-5.068,15.164,3.302,A,
1117,2186,12/31/2019,2019,BK TECHNOLOGIES CORP,USD,40.1,-2.636,-0.065735661,,0.562,,-6.592,,-3.166,,A,
1117,2186,12/31/2020,2020,BK TECHNOLOGIES CORP,USD,44.139,0.248,0.005618614,0.071354275,0.318,-0.244,2.15,8.742,2.613,5.779,A,
1161,2488,12/31/2019,2019,ADVANCED MICRO DEVICES,USD,6731,341,0.05066112,,218,,387,,725,,A,
1161,2488,12/31/2020,2020,ADVANCED MICRO DEVICES,USD,9763,2490,0.255044556,0.204383436,-305,-523,125,-262,1600,875,A,
1209,2969,09/30/2019,2019,AIR PRODUCTS & CHEMICALS INC,USD,8918.9,1760,0.197333752,,8.7,,-542.6,,3203.3,,A,
1209,2969,09/30/2020,2020,AIR PRODUCTS & CHEMICALS INC,USD,8856.3,1886.7,0.213034789,0.015701037,-130.6,-139.3,3004.3,3546.9,3323.4,120.1,A,
1209,2969,09/30/2021,2021,AIR PRODUCTS & CHEMICALS INC,USD,10323,2099.1,0.203342052,-0.009692737,-69,61.6,-784.1,-3788.4,3536.3,212.9,A,3 years
14304,3116,12/31/2019,2019,AKORN INC,USD,682.429,-226.77,-0.332298305,,-44.641,,-80.187,,19.741,,A,
1050,3197,12/31/2019,2019,CECO ENVIRONMENTAL CORP,USD,341.869,17.707,0.051794693,,5.689,,-7.48,,30.231,,A,
1050,3197,12/31/2020,2020,CECO ENVIRONMENTAL CORP,USD,316.011,8.211,0.025983273,-0.025811421,-24.725,-30.414,0.853,8.333,30.514,0.283,A,
1327,4127,09/30/2019,2019,SKYWORKS SOLUTIONS INC,USD,3376.8,853.6,0.252783701,,16.6,,118,,1413.7,,A,
1327,4127,09/30/2020,2020,SKYWORKS SOLUTIONS INC,USD,3355.7,814.8,0.24281074,-0.009972961,-75.8,-92.4,-284.6,-402.6,1289,-124.7,A,
28192,4281,12/31/2019,2019,HOWMET AEROSPACE INC,USD,14192,470,0.033117249,,-316,,-579,,2305,,A,
28192,4281,12/31/2020,2020,HOWMET AEROSPACE INC,USD,5259,261,0.049629207,0.016511958,-255,61,-92,487,1088,-1217,A,
1380,4447,12/31/2019,2019,HESS CORP,USD,6495,-408,-0.062817552,,-216,,-1149,,2776,,A,
1380,4447,12/31/2020,2020,HESS CORP,USD,4667,-3093,-0.662738376,-0.599920824,-71,145,194,1343,-194,-2970,A,
1393,4457,03/31/2020,2019,AMERCO,USD,3978.868,442.048,0.111098936,,-440.174,,-179.349,,1176.433,,A,
1393,4457,03/31/2021,2020,AMERCO,USD,4541.985,610.856,0.134490977,0.023392041,99.44,539.614,699.66,879.009,1574.358,397.925,A,
1585,5981,12/31/2019,2019,AMERICAN VANGUARD CORP,USD,468.186,13.601,0.02905042,,-26.454,,0.413,,40.244,,A,
